coverage_target,n_accepted,accuracy,macro_f1,score_name,split_name,model_name,seed,calibrated
0.7,6871,0.46834521903653037,0.4658065370879898,entropy,mnli_matched,compact,73,False
0.95,9325,0.44589812332439677,0.4436789748209213,max_softmax,mnli_matched,compact,73,True
0.9,8834,0.44940004527960153,0.44702266895402193,max_softmax,mnli_matched,compact,73,True
0.8,7852,0.4575904228222109,0.4549332069207048,max_softmax,mnli_matched,compact,73,True
0.7,6871,0.4699461504875564,0.46727351646207405,max_softmax,mnli_matched,compact,73,True
0.95,9325,0.4482573726541555,0.44620418391498123,margin,mnli_matched,compact,73,True
0.9,8834,0.4500792393026941,0.44781947291510876,margin,mnli_matched,compact,73,True
0.8,7852,0.45962812022414673,0.4570050242635177,margin,mnli_matched,compact,73,True
0.7,6871,0.46921845437345366,0.46656960313654566,margin,mnli_matched,compact,73,True
0.95,9325,0.44525469168900805,0.4431184166501018,entropy,mnli_matched,compact,73,True
0.9,8834,0.44906044826805525,0.4465701486893248,entropy,mnli_matched,compact,73,True
0.8,7852,0.46051961283749365,0.4577241363136762,entropy,mnli_matched,compact,73,True
0.7,6871,0.467471983699607,0.4648673825967786,entropy,mnli_matched,compact,73,True
0.95,9341,0.4606573172037255,0.4595142010133149,max_softmax,mnli_mismatched,compact,73,False
0.9,8849,0.4646852751723359,0.4635480171060398,max_softmax,mnli_mismatched,compact,73,False
0.8,7866,0.47495550470378844,0.47333145629472123,max_softmax,mnli_mismatched,compact,73,False
0.7,6883,0.4848176667150952,0.48310440389555387,max_softmax,mnli_mismatched,compact,73,False
0.95,9341,0.4604432073653784,0.45937619122257595,margin,mnli_mismatched,compact,73,False
0.9,8849,0.46513730365012995,0.463423282698405,margin,mnli_mismatched,compact,73,False
0.8,7866,0.47393846936181033,0.4720070968458458,margin,mnli_mismatched,compact,73,False
0.7,6883,0.48074967310765654,0.47835049757211684,margin,mnli_mismatched,compact,73,False
0.95,9341,0.4604432073653784,0.45939460454625086,entropy,mnli_mismatched,compact,73,False
0.9,8849,0.46592835348626965,0.46498402563167995,entropy,mnli_mismatched,compact,73,False
0.8,7866,0.47419272819730485,0.4730088830596931,entropy,mnli_mismatched,compact,73,False
0.7,6883,0.4800232456777568,0.4785507084869319,entropy,mnli_mismatched,compact,73,False
